escenario,fpr,tpr
eps=0.5,0.7977024698449167,0.8052843193566915
eps=0.5,0.8028719126938542,0.8104537622056289
eps=0.5,0.8070074669730041,0.8157380815623205
eps=0.5,0.8112578977599081,0.8204480183802413
eps=0.5,0.8168868466398621,0.8256174612291787
eps=0.5,0.8218265364732912,0.8309017805858702
eps=0.5,0.827914991384262,0.8353819643882826
eps=0.5,0.8336588167719702,0.8400919012062034
eps=0.5,0.8388282596209076,0.8449167145318782
eps=0.5,0.8436530729465824,0.8498564043653073
eps=0.5,0.8481332567489949,0.8556002297530155
eps=0.5,0.851809304997128,0.8590465249856405
eps=0.5,0.8575531303848363,0.863641585295807
eps=0.5,0.8613440551407238,0.8684663986214819
eps=0.5,0.8676622630672027,0.8744399770246984
eps=0.5,0.8721424468696152,0.8801838024124067
eps=0.5,0.8765077541642734,0.8847788627225732
eps=0.5,0.8811028144744399,0.8898334290637565
eps=0.5,0.8862722573233773,0.8940838598506605
eps=0.5,0.8919012062033315,0.8992533026995979
eps=0.5,0.8967260195290063,0.9037334865020104
eps=0.5,0.9015508328546812,0.9091326823664561
eps=0.5,0.9063756461803562,0.9133831131533602
eps=0.5,0.9097070649052269,0.9184376794945434
eps=0.5,0.9141872487076392,0.9231476163124641
eps=0.5,0.9192418150488225,0.927972429638139
eps=0.5,0.9254451464675474,0.9317633543940265
eps=0.5,0.9316484778862723,0.9357840321654222
eps=0.5,0.9378518093049971,0.9411832280298679
eps=0.5,0.9429063756461804,0.9458931648477886
eps=0.5,0.9485353245261344,0.9509477311889718
eps=0.5,0.9535898908673176,0.9560022975301551
eps=0.5,0.960137851809305,0.9614014933946008
eps=0.5,0.9636990235496841,0.9672601952900631
eps=0.5,0.9709362435381964,0.9731188971855256
eps=0.5,0.9756461803561172,0.9780585870189547
eps=0.5,0.9808156232050546,0.9826536473291212
eps=0.5,0.9863296955772545,0.987478460654796
eps=0.5,0.9921883974727168,0.9931074095347502
eps=0.5,0.9974727168294084,0.9978173463526708
eps=1,0.0,0.0
eps=1,0.00562894887995405,0.002986789201608271
eps=1,0.010338885697874785,0.00781160252728317
eps=1,0.015278575531303849,0.011947156806433084
eps=1,0.019758759333716257,0.01665709362435382
eps=1,0.024583572659391154,0.020562894887995405
eps=1,0.030097645031591038,0.024813325674899484
eps=1,0.03411832280298679,0.029753015508328547
eps=1,0.03836875358989087,0.03480758184951178
eps=1,0.04330844342331993,0.040206777713957496
eps=1,0.04939689833429064,0.04411257897759908
eps=1,0.05399195864445721,0.04928202182653647
eps=1,0.058701895462377945,0.05456634118322803
eps=1,0.06283744974152786,0.05996553704767375
eps=1,0.06766226306720276,0.06547960941987363
eps=1,0.07260195290063182,0.07018954623779437
eps=1,0.07754164273406089,0.07616312464101091
eps=1,0.08190695002871913,0.08156232050545663
eps=1,0.08765077541642734,0.088110281447444
eps=1,0.09431361286616886,0.09282021826536473
eps=1,0.09925330269959794,0.0990235496840896
eps=1,0.10384836300976451,0.10465249856404366
eps=1,0.1074095347501436,0.10890292935094772
eps=1,0.11303848363009765,0.11464675473865595
eps=1,0.11843767949454337,0.1199310740953475
eps=1,0.12337736932797243,0.1251005169442849
eps=1,0.1270534175761057,0.1308443423319931
eps=1,0.1331418724870764,0.13417576105686388
eps=1,0.1383113153360138,0.13842619184376795
eps=1,0.14290637564618036,0.14256174612291786
eps=1,0.1478460654796094,0.1462377943710511
eps=1,0.15244112578977598,0.15163699023549684
eps=1,0.15738081562320505,0.15542791499138425
eps=1,0.16289488799540494,0.1610568638713383
eps=1,0.16794945433658817,0.16645605973578403
eps=1,0.17449741527857554,0.17082136703044226
eps=1,0.17897759908098793,0.1767949454336588
eps=1,0.18299827685238368,0.1823090178058587
eps=1,0.18701895462377943,0.1874784606547961
eps=1,0.19149913842619185,0.19080987937966687
eps=1,0.1971280873061459,0.19563469270534176
eps=1,0.20172314761631246,0.2009190120620333
eps=1,0.20528431935669156,0.20689259046524985
eps=1,0.2099942561746123,0.2122917863296956
eps=1,0.21355542791499138,0.21596783457782884
eps=1,0.2182653647329121,0.2199885123492246
eps=1,0.22286042504307868,0.22527283170591614
eps=1,0.22745548535324525,0.22906375646180357
eps=1,0.23205054566341182,0.23469270534175762
