escenario,fpr,tpr
recorte sin ruido,0.9425617461229179,0.9535898908673176
recorte sin ruido,0.9477311889718553,0.9584147041929926
recorte sin ruido,0.9530155083285469,0.96220562894888
recorte sin ruido,0.9595634692705342,0.9663411832280299
recorte sin ruido,0.9648477886272258,0.9704767375071798
recorte sin ruido,0.9700172314761631,0.9755313038483631
recorte sin ruido,0.9755313038483631,0.9808156232050546
recorte sin ruido,0.9800114876507754,0.9857553130384836
recorte sin ruido,0.9851809304997128,0.9898908673176335
recorte sin ruido,0.9911545089029293,0.9939115450890293
recorte sin ruido,0.9971280873061459,0.9973578403216542
eps=0.5,0.0,0.0
eps=0.5,0.00562894887995405,0.00402067777139575
eps=0.5,0.010913268236645606,0.008730614589316486
eps=0.5,0.01585295807007467,0.013785180930499713
eps=0.5,0.021711659965537047,0.018609994256174614
eps=0.5,0.02653647329121195,0.024009190120620333
eps=0.5,0.030786904078116024,0.02929350947731189
eps=0.5,0.03721998851234923,0.03457782883400345
eps=0.5,0.041010913268236644,0.039287765651924184
eps=0.5,0.045376220562894885,0.04480183802412407
eps=0.5,0.04939689833429064,0.05054566341183228
eps=0.5,0.053877082136703044,0.05617461229178633
eps=0.5,0.05881677197013211,0.06134405514072372
eps=0.5,0.06387133831131533,0.06502010338885698
eps=0.5,0.06835152211372775,0.0691556576680069
eps=0.5,0.0736358414704193,0.07352096496266514
eps=0.5,0.07811602527283171,0.07754164273406089
eps=0.5,0.08248133256748995,0.08213670304422746
eps=0.5,0.08627225732337737,0.08707639287765652
eps=0.5,0.09017805858701895,0.09282021826536473
eps=0.5,0.09523262492820218,0.09730040206777714
eps=0.5,0.10166570936243538,0.10246984491671453
eps=0.5,0.1054566341183228,0.10752441125789776
eps=0.5,0.11039632395175186,0.11303848363009765
eps=0.5,0.1151062607696726,0.11659965537047674
eps=0.5,0.12096496266513498,0.12119471568064331
eps=0.5,0.1256748994830557,0.1253302699597932
eps=0.5,0.1311889718552556,0.13095921883974726
eps=0.5,0.136358414704193,0.13750717978173463
eps=0.5,0.14267662263067202,0.1437105112004595
eps=0.5,0.14807581849511775,0.1485353245261344
eps=0.5,0.15244112578977598,0.15381964388282596
eps=0.5,0.15703618609994255,0.15864445720850087
eps=0.5,0.16209075244112578,0.16255025847214244
eps=0.5,0.16726019529006317,0.1674899483055715
eps=0.5,0.17242963813900059,0.17311889718552556
eps=0.5,0.17863296955772545,0.17828834003446295
eps=0.5,0.18299827685238368,0.18368753589890868
eps=0.5,0.18690407811602527,0.1878230901780586
eps=0.5,0.19287765651924182,0.19276278001148764
eps=0.5,0.1973578403216542,0.19919586444572085
eps=0.5,0.20114876507754165,0.20379092475588742
eps=0.5,0.20666283744974154,0.20827110855829983
eps=0.5,0.21171740379092477,0.21401493394600804
eps=0.5,0.21654221711659966,0.2205628948879954
eps=0.5,0.22297530155083287,0.22504307869040782
eps=0.5,0.2276852383687536,0.2292935094773119
eps=0.5,0.23273980470993683,0.23434807581849512
eps=0.5,0.23630097645031592,0.2385985066053992
eps=0.5,0.24101091326823665,0.24491671453187824
eps=0.5,0.24526134405514072,0.24905226881102815
eps=0.5,0.24939689833429063,0.25353245261344054
eps=0.5,0.2539919586444572,0.258012636415853
eps=0.5,0.2591614014933946,0.263641585295807
eps=0.5,0.26513497989661117,0.2675473865594486
eps=0.5,0.2701895462377944,0.272027570361861
eps=0.5,0.2758184951177484,0.2761631246410109
eps=0.5,0.28064330844342333,0.2805284319356692
eps=0.5,0.28569787478460656,0.2851234922458357
eps=0.5,0.2897185525560023,0.2900631820792648
eps=0.5,0.2945433658816772,0.29408385985066055
eps=0.5,0.2986789201608271,0.2987937966685813
eps=0.5,0.3044227455485353,0.3024698449167145
eps=0.5,0.3084434233199311,0.3080987937966686
eps=0.5,0.3134979896611143,0.3128087306145893
eps=0.5,0.31901206203331417,0.3177484204480184
eps=0.5,0.32360712234348077,0.322343480758185
eps=0.5,0.328661688684664,0.32785755313038484
eps=0.5,0.3336013785180931,0.3330269959793222
eps=0.5,0.33739230327398045,0.33808156232050546
eps=0.5,0.342676622630672,0.34520390580126364
eps=0.5,0.3492245835726594,0.3511774842044802
eps=0.5,0.3533601378518093,0.3558874210224009
eps=0.5,0.3592188397472717,0.36220562894888
eps=0.5,0.3649626651349799,0.36622630672027573
eps=0.5,0.36921309592188395,0.37093624353819643
eps=0.5,0.3726593911545089,0.37472716829408387
eps=0.5,0.3785180930499713,0.38047099368179205
eps=0.5,0.38288340034462953,0.3855255600229753
eps=0.5,0.3874784606547961,0.39138426191843767
eps=0.5,0.392303273980471,0.3964388282596209
eps=0.5,0.39885123492245833,0.40218265364732914
eps=0.5,0.4055140723721999,0.40781160252728316
eps=0.5,0.4096496266513498,0.4133256748994831
eps=0.5,0.414704192992533,0.4189546237794371
eps=0.5,0.4209075244112579,0.42469844916714533
eps=0.5,0.4267662263067203,0.4311315336013785
eps=0.5,0.432854681217691,0.43618609994256174
eps=0.5,0.43779437105112007,0.4411257897759908
eps=0.5,0.4434233199310741,0.4477886272257323
eps=0.5,0.4480183802412407,0.45330269959793223
eps=0.5,0.4523836875358989,0.45801263641585294
eps=0.5,0.4568638713383113,0.4624928202182654
eps=0.5,0.462952326249282,0.46823664560597356
eps=0.5,0.4670878805284319,0.4729465824238943
eps=0.5,0.47260195290063184,0.47800114876507754
