forma,dimension,epsilon,error_laplace,error_gauss,gana
acumulada,20,3.0,6.612425323101925,4.927405968018038,gauss
acumulada,20,5.0,3.937550977004151,3.207329301542586,gauss
acumulada,52,0.1,514.6155217286074,176.9356178082,gauss
acumulada,52,0.25,207.03027956362922,76.25457359293372,gauss
acumulada,52,0.5,104.11327657427174,40.56179065138325,gauss
acumulada,52,0.75,69.19500121083982,27.794975550922693,gauss
acumulada,52,0.9,58.35278845047301,23.82833725136789,gauss
acumulada,52,1.0,52.257098725801335,21.469964867818113,gauss
acumulada,52,1.5,34.65690697350137,14.858993083590383,gauss
acumulada,52,2.0,25.96305702086727,11.409061392617451,gauss
acumulada,52,3.0,17.35472657485881,7.9762591346612846,gauss
acumulada,52,5.0,10.253115509913362,5.143138253870132,gauss
acumulada,100,0.1,997.9649102838633,245.2081876762284,gauss
acumulada,100,0.25,401.9736919024583,105.58051981656989,gauss
acumulada,100,0.5,200.83544583098174,56.17441091943365,gauss
acumulada,100,0.75,133.29445057126838,38.69150409173381,gauss
acumulada,100,0.9,111.348008681817,32.8999718692619,gauss
acumulada,100,1.0,101.1362049658568,29.847255630281328,gauss
acumulada,100,1.5,67.08965635568327,20.68949231015301,gauss
acumulada,100,2.0,49.53071511783867,15.962350538273768,gauss
acumulada,100,3.0,32.873755571658755,11.029656453565083,gauss
acumulada,100,5.0,20.057583665615812,7.106288381258163,gauss
acumulada,311,0.1,3129.5796394088816,433.17977150541196,gauss
acumulada,311,0.25,1247.013657463391,186.7341218967942,gauss
acumulada,311,0.5,620.6053402437353,99.00829813050579,gauss
acumulada,311,0.75,413.42695640208876,68.26595256652632,gauss
acumulada,311,0.9,345.3326111979423,57.80502740465643,gauss
acumulada,311,1.0,311.4236288015399,52.6871619843173,gauss
acumulada,311,1.5,207.8150503579649,36.339173147802086,gauss
acumulada,311,2.0,154.9639979047058,28.040834308371878,gauss
acumulada,311,3.0,103.99520915387009,19.53112384640555,gauss
acumulada,311,5.0,62.09194015498799,12.587668092035546,gauss
acumulada,1000,0.1,9977.257620388897,775.2694467919711,gauss
acumulada,1000,0.25,3998.049552632517,335.6660071621416,gauss
acumulada,1000,0.5,1999.3758023969044,177.67303023629435,gauss
acumulada,1000,0.75,1328.8531636175348,122.43270484158411,gauss
acumulada,1000,0.9,1111.5719194403578,103.58451773665409,gauss
acumulada,1000,1.0,998.1997776891083,94.288589705327,gauss
acumulada,1000,1.5,665.5713739949931,65.1316875096453,gauss
acumulada,1000,2.0,499.7126116958852,50.22264316766094,gauss
acumulada,1000,3.0,333.63375524551697,35.09687589436079,gauss
acumulada,1000,5.0,199.80526425979835,22.54492123591912,gauss
