factor,sexo,edad_min,edad_max,prevalencia,fuente
tabaquismo,F,15,24,0.084,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,M,25,34,0.267,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,F,25,34,0.168,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,M,35,44,0.262,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,F,35,44,0.166,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,M,45,54,0.244,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,F,45,54,0.19399999999999998,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,M,55,64,0.22699999999999998,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,F,55,64,0.16699999999999998,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,M,65,74,0.138,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,F,65,74,0.09,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,M,75,84,0.063,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,F,75,84,0.024,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,M,85,120,0.039,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
tabaquismo,F,85,120,0.004,"ESdE 2023 (INE y Ministerio de Sanidad), prevalencia declarada; tablas 71355, 72356 y 72367"
